№;Номер поставки;Предмет;Код номенклатуры;Бренд;Артикул поставщика;Название;Размер;Баркод;Тип документа;Обоснование для оплаты;Дата заказа покупателем;Дата продажи;Кол-во;Цена розничная;Вайлдберриз реализовал Товар (Пр);Согласованный продуктовый дисконт, %;Промокод, %;Итоговая согласованная скидка, %;Цена розничная с учетом согласованной скидки;Размер снижения кВВ из-за рейтинга, %;Размер изменения кВВ из-за акции, %;Скидка постоянного Покупателя (СПП), %;Размер кВВ, %;Размер кВВ без НДС, % Базовый;Итоговый кВВ без НДС, %;Вознаграждение с продаж до вычета услуг поверенного, без НДС;Возмещение за выдачу и возврат товаров на ПВЗ;Эквайринг/Комиссии за организацию платежей;Размер комиссии за эквайринг/Комиссии за организацию платежей, %;Тип платежа за Эквайринг/Комиссии за организацию платежей;Вознаграждение Вайлдберриз (ВВ), без НДС;НДС с Вознаграждения Вайлдберриз;К перечислению Продавцу за реализованный Товар;Количество доставок;Количество возврата;Услуги по доставке товара покупателю;Дата начала действия фиксации;Дата конца действия фиксации;Признак услуги платной доставки;Общая сумма штрафов;Корректировка Вознаграждения Вайлдберриз (ВВ);Виды логистики, штрафов и корректировок ВВ;Стикер МП;Наименование банка-эквайера;Номер офиса;Наименование офиса доставки;ИНН партнера;Партнер;Склад;Страна;Тип коробов;Номер таможенной декларации;Номер сборочного задания;Код маркировки;ШК;Srid;Возмещение издержек по перевозке/по складским операциям с товаром;Организатор перевозки;Хранение;Удержания;Операции на приемке;Фиксированный коэффициент склада по поставке;Признак продажи юридическому лицу;Номер короба для обработки товара;Скидка по программе софинансирования;Скидка Wibes, %;Компенсация скидки по программе лояльности;Стоимость участия в программе лояльности;Сумма удержанная за начисленные баллы программы лояльности;Id корзины заказа;Разовое изменение срока перечисления денежных средств;Id собственной акции продавца с дополнительной скидкой;Размер дополнительной скидки по собственной акции продавца, %;Способы продажи и тип товара;Уникальный идентификатор скидки лояльности от продавца;Размер скидки лояльности от продавца,%;Id промокода;Скидка за промокод, %
1;29570986;Бустеры тестостерона;260909523;BIXIRUN;4670227414995;Бустер тестостерона для потенции и роста мышц;0;4670227414995;;Логистика;2025-12-26;2026-01-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;1;0;46,4;2025-06-05;2025-08-04;;0;0;К клиенту при продаже;;;204684;Республика Саха (Якутия) Якутск улица Можайского 29;;;Электросталь;Россия;Моно;;;;35198454036;7353294871247944573.0.0;0;;0;0;0;1,6;Нет;0;0;0;0;0;0;127236370_7353294871247944573;0;0;0;FBW, (МГТ, коробка);0;0;;0
2;29570986;Бустеры тестостерона;260909523;BIXIRUN;4670227414995;Бустер тестостерона для потенции и роста мышц;0;4670227414995;Продажа;Продажа;2025-12-26;2026-01-05;1;828;605;0;0;0;828;0;0;26,93;13,5;11,07;-15,86;-91,16;9,17;18,15;3;Перевыставление эквайринга;-98,68;-21,71;698,07;0;0;0;;;;0;0;;;СберБанк;204684;Республика Саха (Якутия) Якутск улица Можайского 29;;;Электросталь;Россия;Моно;;;;35198454036;7353294871247944573.0.0;0;;0;0;0;0;Нет;;0;0;0;0;0;127236370_7353294871247944573;0;0;0;;0;0;;0
3;0;;0;;;;;;;Хранение;2026-01-05;2026-01-05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;0;0;0;;;;0;0;;;;;;;;;;;;;351496120993378;;8805dedb426539165a1b8167d4e0c9e2832c5aa6;0;;17,04;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
4;0;;0;;;;;4670227414995;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-06;2026-01-06;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-1,07;-0,24;0;0;0;0;;;;0;0;;;;;;;;;;;;;;35198454038;7403696188089561403.0.0;1,31;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
5;0;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;;4670157464770;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-06;2026-01-06;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-0,60;-0,13;0;0;0;0;;;;0;0;;;;;;;;;;;;;;38654515330;7540556;0,73;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
6;0;;0;;;;;;;Хранение;2026-01-06;2026-01-06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;0;0;0;;;;0;0;;;;;;;;;;;;;351496120993378;;d732ef0293cfcd0840bed07442f472329e557cbb;0;;17,04;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
7;0;;0;;;;;;;Хранение;2026-01-07;2026-01-07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;0;0;0;;;;0;0;;;;;;;;;;;;;351496120993378;;bf9ccce24b3b88213636f0b289c9d38ae98ff049;0;;17,04;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
8;0;;0;;;;;4670227414995;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-08;2026-01-08;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-0,95;-0,21;0;0;0;0;;;;0;0;;;;;;;;;;;;;;35198454036;7353294871247944573.0.0;1,16;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
9;0;;0;;;;;4670157464770;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-08;2026-01-08;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-0,24;-0,05;0;0;0;0;;;;0;0;;;;;;;;;;;;;;38654515330;14023595118657101.0.0;0,29;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
10;0;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;;4670157464770;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-08;2026-01-08;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-1,79;-0,39;0;0;0;0;;;;0;0;;;;;;;;;;;;;;28006720930;898424;2,18;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
11;0;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;;4670157464770;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-08;2026-01-08;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-6,34;-1,4;0;0;0;0;;;;0;0;;;;;;;;;;;;;;35198322307;4007224;7,74;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
12;0;;0;;;;;;;Хранение;2026-01-08;2026-01-08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;0;0;0;;;;0;0;;;;;;;;;;;;;351496120993378;;362436429fb00d340911d6e39655efc94bd8397e;0;;16,91;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
13;31472919;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;0;4670157464770;;Логистика;2026-01-02;2026-01-09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;1;0;46;2025-08-01;2025-09-30;;0;0;К клиенту при продаже;;;210604;Красноярский край Красноярск улица Академика Павлова 54/1;;;Самара (Новосемейкино);Россия;Моно;;;"0104670157464770215?5<;)&U2CFWF�93Fxq2";38654515330;14023595118657101.0.0;0;;0;0;0;2;Нет;0;0;0;0;0;0;10047190_14023595118657101;0;0;0;FBW, (МГТ, коробка);0;0;;0
