№;Номер поставки;Предмет;Код номенклатуры;Бренд;Артикул поставщика;Название;Размер;Баркод;Тип документа;Обоснование для оплаты;Дата заказа покупателем;Дата продажи;Кол-во;Цена розничная;Вайлдберриз реализовал Товар (Пр);Согласованный продуктовый дисконт, %;Промокод, %;Итоговая согласованная скидка, %;Цена розничная с учетом согласованной скидки;Размер снижения кВВ из-за рейтинга, %;Размер изменения кВВ из-за акции, %;Скидка постоянного Покупателя (СПП), %;Размер кВВ, %;Размер кВВ без НДС, % Базовый;Итоговый кВВ без НДС, %;Вознаграждение с продаж до вычета услуг поверенного, без НДС;Возмещение за выдачу и возврат товаров на ПВЗ;Эквайринг/Комиссии за организацию платежей;Размер комиссии за эквайринг/Комиссии за организацию платежей, %;Тип платежа за Эквайринг/Комиссии за организацию платежей;Вознаграждение Вайлдберриз (ВВ), без НДС;НДС с Вознаграждения Вайлдберриз;К перечислению Продавцу за реализованный Товар;Количество доставок;Количество возврата;Услуги по доставке товара покупателю;Дата начала действия фиксации;Дата конца действия фиксации;Признак услуги платной доставки;Общая сумма штрафов;Корректировка Вознаграждения Вайлдберриз (ВВ);Виды логистики, штрафов и корректировок ВВ;Стикер МП;Наименование банка-эквайера;Номер офиса;Наименование офиса доставки;ИНН партнера;Партнер;Склад;Страна;Тип коробов;Номер таможенной декларации;Номер сборочного задания;Код маркировки;ШК;Srid;Возмещение издержек по перевозке/по складским операциям с товаром;Организатор перевозки;Хранение;Удержания;Операции на приемке;Фиксированный коэффициент склада по поставке;Признак продажи юридическому лицу;Номер короба для обработки товара;Скидка по программе софинансирования;Скидка Wibes, %;Компенсация скидки по программе лояльности;Стоимость участия в программе лояльности;Сумма удержанная за начисленные баллы программы лояльности;Id корзины заказа;Разовое изменение срока перечисления денежных средств;Id собственной акции продавца с дополнительной скидкой;Размер дополнительной скидки по собственной акции продавца, %;Способы продажи и тип товара;Уникальный идентификатор скидки лояльности от продавца;Размер скидки лояльности от продавца,%;Id промокода;Скидка за промокод, %
1;0;;0;;;;;4670157464770;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-01;2026-01-01;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-0,15;-0,03;0;0;0;0;;;;0;0;;;;;;;;;;;;;;28006720930;8585759318934538898.0.0;0,18;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
2;0;;0;;;;;4670157464824;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-01;2026-01-01;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-0,95;-0,21;0;0;0;0;;;;0;0;;;;;;;;;;;;;;34954174001;77081347118359580.1.0;1,16;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
3;0;;0;;;;;;;Хранение;2026-01-01;2026-01-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;0;0;0;;;;0;0;;;;;;;;;;;;;351496120993378;;004d291c86c63b01c994b874983e2b3e91156786;0;;17,45;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
4;0;;0;;;;;;;Хранение;2026-01-02;2026-01-02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;0;0;0;;;;0;0;;;;;;;;;;;;;351496120993378;;54fcdfbc54a067b36f2dd0d7b05696939572f32a;0;;17,45;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
5;31472919;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;0;4670157464770;;Логистика;2025-12-23;2026-01-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;1;0;46;2025-08-01;2025-09-30;;0;0;К клиенту при продаже;;;109468;Новосибирская область Бердск 48А;;;Самара (Новосемейкино);Россия;Моно;;;0104670157464770215cM%YseziuOP,�93+NOP;38654515270;DAk.ac3fab0fb6c64d05baf204438fcb8b43.0.0;0;;0;0;0;2;Нет;0;0;0;0;0;0;ac3fab0fb6c64d05baf204438fcb8b43;0;0;0;FBW, (МГТ, коробка);0;0;;0
6;31472919;БАДы;254281289;BIXIRUN;4670157464770;Витамин Д3 К2 120 шт;0;4670157464770;Продажа;Продажа;2025-12-23;2026-01-03;1;522;365;0;0;0;522;0;0;30,08;20,5;16,8;-13,28;-40,98;0;10,95;3;Перевыставление эквайринга;-40,98;-9,01;404,04;0;0;0;;;;0;0;;;Вайлдберриз Банк;109468;Новосибирская область Бердск 48А;;;Самара (Новосемейкино);Россия;Моно;;;0104670157464770215cM%YseziuOP,�93+NOP;38654515270;DAk.ac3fab0fb6c64d05baf204438fcb8b43.0.0;0;;0;0;0;0;Нет;;0;0;0;0;0;ac3fab0fb6c64d05baf204438fcb8b43;0;0;0;;0;0;;0
7;31472919;L-карнитины;254278127;BIXIRUN;4670157464848;Л карнитин спортивный жиросжигатель 90 капсул;0;4670157464848;;Логистика;2025-12-29;2026-01-03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0,00;0;0;1;0;65,25;2025-08-01;2025-09-30;;0;0;К клиенту при продаже;;;212508;Кемеровская область Междуреченск проспект Строителей 63;;;Екатеринбург - Перспективный 12;Россия;Моно;;;;38654515434;12547612118478509.0.0;0;;0;0;0;2,25;Нет;0;0;0;0;0;0;7095224_12547612118478509;0;0;0;FBW, (МГТ, коробка);0;0;;0
8;31472919;L-карнитины;254278127;BIXIRUN;4670157464848;Л карнитин спортивный жиросжигатель 90 капсул;0;4670157464848;Продажа;Продажа;2025-12-29;2026-01-03;1;668;462;0;0;0;668;0;0;30,84;13,5;11,07;-19,77;-94,93;3,29;13,86;3;Перевыставление эквайринга;-97,63;-21,48;563,96;0;0;0;;;;0;0;;;СберБанк;212508;Кемеровская область Междуреченск проспект Строителей 63;;;Екатеринбург - Перспективный 12;Россия;Моно;;;;38654515434;12547612118478509.0.0;0;;0;0;0;0;Нет;;0;0;0;0;0;7095224_12547612118478509;0;0;0;;0;0;;0
9;0;;0;;;;;4670227414995;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-03;2026-01-03;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-1,01;-0,22;0;0;0;0;;;;0;0;;;;;;;;;;;;;;35198454108;7604207899863995239.0.0;1,23;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
10;0;;0;;;;;4670157464848;;Возмещение издержек по перевозке/по складским операциям с товаром;2026-01-03;2026-01-03;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;-0,73;-0,16;0;0;0;0;;;;0;0;;;;;;;;;;;;;;38654515434;12547612118478509.0.0;0,89;;0;0;0;0;Нет;;0;0;0;0;0;;0;0;0;;0;0;;0
